"No.","Time","Source","Destination","Length","RSSI","Protocol","Info"
"30307","272.345114","","a4:42:3b:d2:f7:08","329","-49 dBm","802.11","QoS Data, SN=2979, FN=0, Flags=.p....F.C"
"30311","272.356386","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","150","-29 dBm","802.11","QoS Data, SN=970, FN=0, Flags=.p.....TC"
"30313","272.356812","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","158","-51 dBm","802.11","QoS Data, SN=3784, FN=0, Flags=.p....F.C"
"30318","272.389318","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","150","-29 dBm","802.11","QoS Data, SN=971, FN=0, Flags=.p.....TC"
"30682","276.654338","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","260","-29 dBm","802.11","QoS Data, SN=972, FN=0, Flags=.p.....TC"
"30684","276.656800","Sagemcom_ba:ef:01","a4:42:3b:d2:f7:08","268","-49 dBm","802.11","QoS Data, SN=2980, FN=0, Flags=.p....F.C"
"30689","276.700939","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","150","-29 dBm","802.11","QoS Data, SN=973, FN=0, Flags=.p.....TC"
"30703","276.895945","Sagemcom_ba:ef:01","a4:42:3b:d2:f7:08","164","-48 dBm","802.11","QoS Data, SN=1126, FN=0, Flags=.p....F.C"
"30706","276.897189","Sagemcom_ba:ef:01","a4:42:3b:d2:f7:08","164","-48 dBm","802.11","QoS Data, SN=1126, FN=0, Flags=.p..R.F.C"
"30710","276.898117","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","138","-29 dBm","802.11","QoS Data, SN=974, FN=0, Flags=.p.....TC"
"30751","277.328766","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","260","-29 dBm","802.11","QoS Data, SN=975, FN=0, Flags=.p.....TC"
"30753","277.329418","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","268","-49 dBm","802.11","QoS Data, SN=3789, FN=0, Flags=.p....F.C"
"30755","277.330445","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-66 dBm","802.11","QoS Data, SN=1729, FN=0, Flags=.p.....TC"
"30757","277.331402","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-47 dBm","802.11","QoS Data, SN=2981, FN=0, Flags=.p....F.C"
