"No.","Time","Source","Destination","Length","RSSI","Protocol","Info"
"2553","35.799343091","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-32 dBm","802.11","QoS Data, SN=944, FN=0, Flags=.p.....TC"
"2557","35.800260758","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","345","-51 dBm","802.11","QoS Data, SN=1749, FN=0, Flags=.p....F.C"
"2561","35.800825400","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","240","-51 dBm","802.11","QoS Data, SN=1750, FN=0, Flags=.p....F.C"
"2563","35.800999921","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-32 dBm","802.11","QoS Data, SN=945, FN=0, Flags=.p.....TC"
"2565","35.801723367","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-32 dBm","802.11","QoS Data, SN=946, FN=0, Flags=.p.....TC"
"2569","35.806692419","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","190","-51 dBm","802.11","QoS Data, SN=1751, FN=0, Flags=.p....F.C"
"2574","35.841606673","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","190","-31 dBm","802.11","QoS Data, SN=947, FN=0, Flags=.p.....TC"
"2578","35.885869112","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","446","-49 dBm","802.11","QoS Data, SN=1752, FN=0, Flags=.p....F.C"
"2580","35.889068509","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","190","-33 dBm","802.11","QoS Data, SN=948, FN=0, Flags=.p.....TC"
"2585","35.917635077","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","190","-50 dBm","802.11","QoS Data, SN=1753, FN=0, Flags=.p....F.C"
